sku,product_name,brand,product_category,subcategory,model,price,warranty_months,launch_date,weight,colour,battery_capacity,connector_type,operating_system,compatibility,supplier_id,packaging_type
SKU-LAP-1137,SonicWave Laptop 237,SonicWave,Laptops,Laptops Standard,MOD-2137,897.34,24,2024-02-20,0.39,White,4000,HDMI,N/A,Specific,SUP-108,Pouch
SKU-HEA-1138,SonicWave Headphone 238,SonicWave,Headphones,Headphones Standard,MOD-2138,501.81,36,2024-03-20,3.04,Space Gray,2000,Micro-USB,N/A,Specific,SUP-101,Reinforced Case
SKU-SMA-1139,PixelCraft Smartwatche 239,PixelCraft,Smartwatches,Smartwatches Standard,MOD-2139,198.36,36,2023-04-25,4.24,Space Gray,2000,Micro-USB,N/A,Specific,SUP-101,Pouch
SKU-CHA-1140,PixelCraft Charger 240,PixelCraft,Chargers,Chargers Standard,MOD-2140,971.56,6,2023-11-08,4.16,Space Gray,0,3.5mm Jack,N/A,Specific,SUP-100,Blister Pack
SKU-POW-1141,NexusCore Power Bank 241,NexusCore,Power Banks,Power Banks Standard,MOD-2141,847.7,24,2024-04-16,0.13,Silver,5000,Micro-USB,N/A,Specific,SUP-109,Eco Carton
SKU-TVS-1142,SonicWave TV 242,SonicWave,TVs,TVs Standard,MOD-2142,183.12,6,2023-02-16,2.7,Ocean Blue,0,3.5mm Jack,N/A,Specific,SUP-106,Eco Carton
SKU-TAB-1143,OmniGear Tablet 243,OmniGear,Tablets,Tablets Standard,MOD-2143,201.53,24,2024-01-05,0.86,White,2000,USB-C,iOS,Universal,SUP-100,Box
SKU-CAM-1144,NexusCore Camera 244,NexusCore,Cameras,Cameras Standard,MOD-2144,540.09,36,2023-09-06,2.27,Space Gray,0,HDMI,N/A,Specific,SUP-103,Reinforced Case
SKU-KEY-1145,SonicWave Keyboard 245,SonicWave,Keyboards,Keyboards Standard,MOD-2145,424.03,6,2023-05-26,3.42,Ocean Blue,0,3.5mm Jack,N/A,Specific,SUP-108,Pouch
SKU-MIC-1146,AeroTech Mice 246,AeroTech,Mice,Mice Standard,MOD-2146,276.31,6,2023-01-04,1.58,Silver,0,Lightning,N/A,Specific,SUP-112,Blister Pack
SKU-SPE-1147,NexusCore Speaker 247,NexusCore,Speakers,Speakers Standard,MOD-2147,357.99,6,2023-01-04,2.21,Silver,10000,3.5mm Jack,N/A,Specific,SUP-106,Reinforced Case
SKU-CAB-1148,PixelCraft Cable 248,PixelCraft,Cables,Cables Standard,MOD-2148,607.81,24,2023-02-06,4.32,Midnight Black,0,Bluetooth,N/A,iOS/Android,SUP-106,Box
SKU-ROU-1149,Zenith Router 249,Zenith,Routers,Routers Standard,MOD-2149,1106.58,24,2023-10-22,2.91,Ocean Blue,0,Bluetooth,N/A,iOS/Android,SUP-104,Box
SKU-GAM-1150,UltraLink Gaming Accessorie 250,UltraLink,Gaming Accessories,Gaming Accessories Standard,MOD-2150,39.72,24,2023-03-29,2.35,Space Gray,0,HDMI,N/A,Specific,SUP-101,Eco Carton
