sku,listing_title,listing_description,listed_compatibility,listed_accessories,listed_dimensions,listed_colour,listing_last_updated,content_quality_score,compatibility_information_present,installation_guide_present,image_accuracy_score
SKU-GAM-1135,UltraLink Gaming Accessorie 235 - High Performance,Official UltraLink Gaming Accessories with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",19x14x3 cm,Ocean Blue,2024-03-31,0.93,True,True,0.96
SKU-SMA-1136,OmniGear Smartphone 236 - High Performance,Official OmniGear Smartphones with USB-C support.,See Description,"Charger, User Manual, Cable",21x13x3 cm,Midnight Black,2024-01-30,0.35,False,True,0.65
SKU-LAP-1137,SonicWave Laptop 237 - High Performance,Official SonicWave Laptops with HDMI support.,iOS and Android,"Charger, User Manual, Cable",29x14x5 cm,White,2024-01-07,0.91,True,True,1.0
SKU-HEA-1138,SonicWave Headphone 238 - High Performance,Official SonicWave Headphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",19x10x3 cm,Space Gray,2024-01-02,0.93,True,False,0.89
SKU-SMA-1139,PixelCraft Smartwatche 239 - High Performance,Official PixelCraft Smartwatches with Micro-USB support.,See Description,"Charger, User Manual, Cable",30x5x1 cm,Space Gray,2024-05-15,0.47,False,True,0.44
SKU-CHA-1140,PixelCraft Charger 240 - High Performance,Official PixelCraft Chargers with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",28x14x1 cm,Space Gray,2024-01-14,0.88,True,True,0.96
SKU-POW-1141,NexusCore Power Bank 241 - High Performance,Official NexusCore Power Banks with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",24x11x3 cm,Silver,2024-02-25,0.5,True,True,0.55
SKU-TVS-1142,SonicWave TV 242 - High Performance,Official SonicWave TVs with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",25x13x3 cm,Ocean Blue,2024-01-12,0.82,True,True,0.95
SKU-TAB-1143,OmniGear Tablet 243 - High Performance,Official OmniGear Tablets with USB-C support.,See Description,"Charger, User Manual, Cable",14x9x3 cm,White,2024-03-24,1.0,False,True,0.99
SKU-CAM-1144,NexusCore Camera 244 - High Performance,Official NexusCore Cameras with HDMI support.,iOS and Android,Device Only,17x13x5 cm,Space Gray,2024-06-20,0.52,True,False,0.51
SKU-KEY-1145,SonicWave Keyboard 245 - High Performance,Official SonicWave Keyboards with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",12x10x5 cm,Ocean Blue,2024-04-19,0.81,True,False,0.85
SKU-MIC-1146,AeroTech Mice 246 - High Performance,Official AeroTech Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",20x7x5 cm,Silver,2024-04-27,0.94,True,False,0.85
SKU-SPE-1147,NexusCore Speaker 247 - High Performance,Official NexusCore Speakers with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",28x11x5 cm,Silver,2024-01-21,0.98,False,True,0.89
SKU-CAB-1148,PixelCraft Cable 248 - High Performance,Official PixelCraft Cables with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",26x15x1 cm,Midnight Black,2024-05-15,0.86,True,True,0.88
SKU-ROU-1149,Zenith Router 249 - High Performance,Official Zenith Routers with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x8x1 cm,Ocean Blue,2024-02-07,0.98,True,True,0.97
SKU-GAM-1150,UltraLink Gaming Accessorie 250 - High Performance,Official UltraLink Gaming Accessories with HDMI support.,iOS and Android,"Charger, User Manual, Cable",30x12x4 cm,Space Gray,2024-05-24,0.83,True,True,0.86
